Fist Nane,Last Name,Email,Mobile Number,Home Phome,EmployeeType,Residential Addresss
Owen,Hudson,owen.hudson@lt.com,94771111111,9.40113E+11,permanent,London
Rachel,Burgess,rachel.burgess@lt.com,94771111112,9.40113E+11,permanent,London
Mary,Mathis,mary.mathis@lt.com,94771111113,9.40113E+11,permanent,London
Molly,Vaughan,molly.vaughan@lt.com,94771111114,9.40113E+11,permanent,London
Piers,Duncan,piers.duncan@lt.com,94771111115,9.40113E+11,permanent,London
Dorothy,Wallace,dorothy.wallace@lt.com,94771111116,9.40113E+11,permanent,London
Emma,Clark,emma.clark@lt.com,94771111117,9.40113E+11,permanent,London
Tracey,Mills,tracey.mills@lt.com,94771111118,9.40113E+11,permanent,London
Dorothy,Wilkins,dorothy.wilkins@lt.com,94771111119,9.40113E+11,permanent,London
Ava,Lambert,ava.lambert@lt.com,94771111120,9.40113E+11,permanent,London
Wanda,Kelly,wanda.kelly@lt.com,94771111121,9.40113E+11,permanent,London
Blake,Mills,blake.mills@lt.com,94771111122,9.40113E+11,permanent,London
Gordon,Simpson,gordon.simpson@lt.com,94771111123,9.40113E+11,permanent,London
Carl,Manning,carl.manning@lt.com,94771111124,9.40113E+11,permanent,London
Grace,Lee,grace.lee@lt.com,94771111125,9.40113E+11,permanent,Berlin
Andrew,Oliver,andrew.oliver@lt.com,94771111126,9.40113E+11,permanent,Berlin
Gabrielle,Fisher,gabrielle.fisher@lt.com,94771111127,9.40113E+11,permanent,Berlin
Sean,Parr,sean.parr@lt.com,94771111145,9.40113E+11,contractor,Johannesburg
Warren,Ferguson,warren.ferguson@lt.com,94771111146,9.40113E+11,contractor,Johannesburg
Gabrielle,Vaughan,gabrielle.vaughan@lt.com,94771111147,9.40113E+11,contractor,Colombo
Wendy,Davidson,wendy.davidson@lt.com,94771111148,9.40113E+11,contractor,Colombo
Alison,Hart,alison.hart@lt.com,94771111149,9.40113E+11,contractor,Colombo
Jane,Forsyth,jane.forsyth@lt.com,94771111150,9.40113E+11,contractor,New York
Ella,Allan,ella.allan@lt.com,94771111151,9.40113E+11,contractor,New York
Paul,Black,paul.black@lt.com,94771111152,9.40113E+11,contractor,New York
Natalie,Greene,natalie.greene@lt.com,94771111153,9.40113E+11,contractor,Moscow
Sophie,King,sophie.king@lt.com,94771111154,9.40113E+11,contractor,Moscow
James,Scott,james.scott@lt.com,94771111155,9.40113E+11,contractor,Moscow
Jane,Brown,jane.brown@lt.com,94771111156,9.40113E+11,contractor,Moscow
Kevin,Rees,kevin.rees@lt.com,94771111157,9.40113E+11,contractor,Moscow
Brandon,MacDonald,brandon.macdonald@lt.com,94771111158,9.40113E+11,contractor,Amsterdam
Olivia,Gill,olivia.gill@lt.com,94771111159,9.40113E+11,contractor,Amsterdam
Lisa,McLean,lisa.mclean@lt.com,94771111160,9.40113E+11,contractor,Amsterdam
